ENSEGOT00005000002.1	MTRR
ENSEGOT00005007374.1	AAMP
ENSEGOT00005007377.1	SUCO
ENSEGOT00005007380.1	SUCO
ENSEGOT00005007378.1	FETUB
ENSEGOT00005007381.1	AHSG
ENSEGOT00005007382.1	LOC101233427
ENSEGOT00005007393.1	NRP1
ENSEGOT00005007383.1	RUFY4
ENSEGOT00005007385.1	PMPCB
ENSEGOT00005007386.1	SENP5
ENSEGOT00005007387.1	FASLG
ENSEGOT00005007397.1	NAPEPLD
ENSEGOT00005007399.1	TADA1
ENSEGOT00005007401.1	EPHB3
ENSEGOT00005007400.1	ARMC10
ENSEGOT00005007402.1	NSUN3
ENSEGOT00005007404.1	NSUN3
ENSEGOT00005007409.1	TNS1
ENSEGOT00005007418.1	TNS1
ENSEGOT00005007425.1	TNS1
ENSEGOT00005007429.1	TNS1
ENSEGOT00005007407.1	LRRC17
ENSEGOT00005007408.1	POLR2H
ENSEGOT00005007410.1	FAM78B
ENSEGOT00005007412.1	ARL13B
ENSEGOT00005007415.1	ARL13B
ENSEGOT00005007414.1	THPO
ENSEGOT00005007413.1	PLPP6
ENSEGOT00005007417.1	FAM185A
ENSEGOT00005007416.1	FMO5
ENSEGOT00005007419.1	STX19
ENSEGOT00005007421.1	CHRD
ENSEGOT00005007420.1	PRKAB2
ENSEGOT00005007422.1	FGL2
ENSEGOT00005007426.1	PROS1
ENSEGOT00005007428.1	PROS1
ENSEGOT00005007427.1	CCDC146
ENSEGOT00005007430.1	CLCN2
ENSEGOT00005007432.1	CLCN2
ENSEGOT00005007431.1	GSAP
ENSEGOT00005007437.1	IGFBP5
ENSEGOT00005007438.1	IGFBP5
ENSEGOT00005007440.1	PTPN12
ENSEGOT00005007453.1	SRGAP3
ENSEGOT00005007459.1	SRGAP3
ENSEGOT00005007460.1	SRGAP3
ENSEGOT00005007469.1	SRGAP3
ENSEGOT00005007476.1	SRGAP3
ENSEGOT00005007490.1	SRGAP3
ENSEGOT00005007493.1	SRGAP3
ENSEGOT00005007506.1	SRGAP3
ENSEGOT00005007509.1	SRGAP3
ENSEGOT00005007514.1	SRGAP3
ENSEGOT00005007443.1	FAM131A
ENSEGOT00005007441.1	IGFBP2
ENSEGOT00005007444.1	IGFBP2
ENSEGOT00005007445.1	CDK5RAP2
ENSEGOT00005007446.1	RPL37A
ENSEGOT00005007447.1	PHGDH
ENSEGOT00005007448.1	RSBN1L
ENSEGOT00005007449.1	TMEM60
ENSEGOT00005007450.1	SMARCAL1
ENSEGOT00005007452.1	SMARCAL1
ENSEGOT00005007451.1	EIF4G1
ENSEGOT00005007458.1	EIF4G1
ENSEGOT00005007455.1	HMGCS2
ENSEGOT00005007454.1	PHTF2
ENSEGOT00005007457.1	MARCHF4
ENSEGOT00005007479.1	EPHA3
ENSEGOT00005007481.1	EPHA3
ENSEGOT00005007483.1	EPHA3
ENSEGOT00005007484.1	EPHA3
ENSEGOT00005007461.1	XRCC5
ENSEGOT00005007462.1	NOTCH2
ENSEGOT00005007464.1	TMEM169
ENSEGOT00005007466.1	PECR
ENSEGOT00005007467.1	PSMD2
ENSEGOT00005007468.1	MAP3K2
ENSEGOT00005007471.1	SEC22B
ENSEGOT00005007472.1	SEC22B
ENSEGOT00005007470.1	ERCC3
ENSEGOT00005007473.1	CYP27C1
ENSEGOT00005007474.1	PACS2
ENSEGOT00005007475.1	ECE2
ENSEGOT00005007477.1	ECE2
ENSEGOT00005007482.1	ECE2
ENSEGOT00005007478.1	BIN1
ENSEGOT00005007480.1	BIN1
ENSEGOT00005007494.1	ITGB1
ENSEGOT00005007546.1	ITGB1
ENSEGOT00005007486.1	C3orf38
ENSEGOT00005007487.1	LOC105759524
ENSEGOT00005007488.1	GYPC
ENSEGOT00005007491.1	CAMK2N2
ENSEGOT00005007492.1	ZNF654
ENSEGOT00005007495.1	EEF1AKMT4
ENSEGOT00005007497.1	CNTNAP5
ENSEGOT00005007496.1	CGGBP1
ENSEGOT00005007498.1	N6AMT1
ENSEGOT00005007500.1	N6AMT1
ENSEGOT00005007499.1	ALG3
ENSEGOT00005007501.1	ALG3
ENSEGOT00005007502.1	MRAS
ENSEGOT00005007669.1	RFC1
ENSEGOT00005007671.1	RFC1
ENSEGOT00005007674.1	RFC1
ENSEGOT00005007675.1	RFC1
ENSEGOT00005007678.1	RFC1
ENSEGOT00005007680.1	RFC1
ENSEGOT00005007681.1	RFC1
ENSEGOT00005007505.1	TMEM177
ENSEGOT00005007507.1	PTPN4
ENSEGOT00005007516.1	ADAMTS5
ENSEGOT00005007518.1	ADAMTS5
ENSEGOT00005007519.1	ADAMTS5
ENSEGOT00005007511.1	LOC105759519
ENSEGOT00005007515.1	EPB41L5
ENSEGOT00005007517.1	RAD18
ENSEGOT00005007521.1	OXTR
ENSEGOT00005007522.1	ADAMTS1
ENSEGOT00005007523.1	ATRN
ENSEGOT00005007524.1	CAV3
ENSEGOT00005007525.1	LMCD1
ENSEGOT00005007526.1	RALB
ENSEGOT00005007531.1	GDPD5
ENSEGOT00005007533.1	GDPD5
ENSEGOT00005007532.1	INHBB
ENSEGOT00005007534.1	GRM7
ENSEGOT00005007535.1	GRM7
ENSEGOT00005007536.1	GLI2
ENSEGOT00005007545.1	SERPINH1
ENSEGOT00005007544.1	TFCP2L1
ENSEGOT00005007547.1	FCHSD2
ENSEGOT00005007566.1	ABCF3
ENSEGOT00005007567.1	ABCF3
ENSEGOT00005007554.1	EDEM1
ENSEGOT00005007557.1	EDEM1
ENSEGOT00005007550.1	FCHSD2
ENSEGOT00005007551.1	CLASP1
ENSEGOT00005007556.1	CLASP1
ENSEGOT00005007552.1	P2RY2
ENSEGOT00005007555.1	P2RY6
ENSEGOT00005007558.1	P2RY6
ENSEGOT00005007559.1	ARL8B
ENSEGOT00005007560.1	BHLHE40
ENSEGOT00005007617.1	MTA1
ENSEGOT00005007621.1	MTA1
ENSEGOT00005007623.1	MTA1
ENSEGOT00005007633.1	MTA1
ENSEGOT00005007561.1	NIFK
ENSEGOT00005007562.1	TSN
ENSEGOT00005007571.1	ARHGEF17
ENSEGOT00005007574.1	ARHGEF17
ENSEGOT00005007563.1	LOC100223706
ENSEGOT00005007564.1	IQCB1
ENSEGOT00005007565.1	EAF2
ENSEGOT00005007569.1	EPC1
ENSEGOT00005007573.1	EPC1
ENSEGOT00005007592.1	EPC1
ENSEGOT00005007568.1	SLC15A2
ENSEGOT00005007570.1	HSPBAP1
ENSEGOT00005007572.1	SLC49A4
ENSEGOT00005007576.1	AP2M1
ENSEGOT00005007577.1	AP2M1
ENSEGOT00005007578.1	AP2M1
ENSEGOT00005007575.1	RELT
ENSEGOT00005007580.1	SEMA5B
ENSEGOT00005007579.1	FAM168A
ENSEGOT00005007581.1	PLEKHB1
ENSEGOT00005007582.1	DVL3
ENSEGOT00005007584.1	RAB6A
ENSEGOT00005007586.1	RAB6A
ENSEGOT00005007583.1	EIF2B5
ENSEGOT00005007585.1	EIF2B5
ENSEGOT00005007750.1	MAGI2
ENSEGOT00005007759.1	MAGI2
ENSEGOT00005007762.1	MAGI2
ENSEGOT00005007767.1	MAGI2
ENSEGOT00005007775.1	MAGI2
ENSEGOT00005007778.1	MAGI2
ENSEGOT00005007784.1	MAGI2
ENSEGOT00005007789.1	MAGI2
ENSEGOT00005007587.1	MRPL48
ENSEGOT00005007598.1	PDIA5
ENSEGOT00005007599.1	PDIA5
ENSEGOT00005007600.1	PDIA5
ENSEGOT00005007588.1	LOC100219445
ENSEGOT00005007589.1	PAAF1
ENSEGOT00005007595.1	ABCC5
ENSEGOT00005007590.1	TTC3
ENSEGOT00005007593.1	HUNK
ENSEGOT00005007594.1	SCAF4
ENSEGOT00005007596.1	SOD1
ENSEGOT00005007597.1	RNPEPL1
ENSEGOT00005007601.1	TIAM1
ENSEGOT00005007602.1	CAPN10
ENSEGOT00005007603.1	SEC22A
ENSEGOT00005007605.1	CLDN8
ENSEGOT00005007608.1	LOC100230674
ENSEGOT00005007609.1	LOC100230674
ENSEGOT00005007611.1	GRIK1
ENSEGOT00005007612.1	GRIK1
ENSEGOT00005007610.1	LOC100221075
ENSEGOT00005007613.1	LOC100224002
ENSEGOT00005007614.1	LOC100224002
ENSEGOT00005007615.1	SLCO2B1
ENSEGOT00005007630.1	ADCY5
ENSEGOT00005007634.1	ADCY5
ENSEGOT00005007638.1	ADCY5
ENSEGOT00005007640.1	ADCY5
ENSEGOT00005007641.1	ADCY5
ENSEGOT00005007645.1	ADCY5
ENSEGOT00005007620.1	EIF4E2
ENSEGOT00005007622.1	EIF4E2
ENSEGOT00005007625.1	EIF4E2
ENSEGOT00005007626.1	EIF4E2
ENSEGOT00005007627.1	EIF4E2
ENSEGOT00005007624.1	PGM2L1
ENSEGOT00005007628.1	KCNE3
ENSEGOT00005007629.1	LIPT2
ENSEGOT00005007632.1	CHRNG
ENSEGOT00005007631.1	POLD3
ENSEGOT00005007658.1	KIF5B
ENSEGOT00005007636.1	CHRDL2
ENSEGOT00005007635.1	CHRND
ENSEGOT00005007739.1	ITPR1
ENSEGOT00005007747.1	ITPR1
ENSEGOT00005007749.1	ITPR1
ENSEGOT00005007752.1	ITPR1
ENSEGOT00005007758.1	ITPR1
ENSEGOT00005007781.1	ITPR1
ENSEGOT00005007788.1	ITPR1
ENSEGOT00005007797.1	ITPR1
ENSEGOT00005007805.1	ITPR1
ENSEGOT00005007810.1	ITPR1
ENSEGOT00005007639.1	CRIP2
ENSEGOT00005007642.1	CRIP2
ENSEGOT00005007644.1	CRIP2
ENSEGOT00005007643.1	RNF169
ENSEGOT00005007646.1	RNF169
ENSEGOT00005007648.1	PRSS56
ENSEGOT00005007652.1	PRSS56
ENSEGOT00005007647.1	CRIP1
ENSEGOT00005007649.1	HACD2
ENSEGOT00005007653.1	HACD2
ENSEGOT00005007650.1	SPCS2
ENSEGOT00005007654.1	SPCS2
ENSEGOT00005007651.1	TEDC1
ENSEGOT00005007655.1	LOC100226843
ENSEGOT00005007656.1	UHMK1
ENSEGOT00005007659.1	MYLK
ENSEGOT00005007664.1	MYLK
ENSEGOT00005007660.1	UHMK1
ENSEGOT00005007662.1	UHMK1
ENSEGOT00005007663.1	ECEL1
ENSEGOT00005007665.1	NEU3
ENSEGOT00005007666.1	CCDC14
ENSEGOT00005007667.1	P4HA3
ENSEGOT00005007668.1	P4HA3
ENSEGOT00005007670.1	PPME1
ENSEGOT00005007672.1	DDR2
ENSEGOT00005007673.1	C2CD3
ENSEGOT00005007676.1	DDR2
ENSEGOT00005007679.1	DDR2
ENSEGOT00005007677.1	UCP3
ENSEGOT00005007682.1	HSD17B7
ENSEGOT00005007684.1	SYNJ1
ENSEGOT00005007687.1	SYNJ1
ENSEGOT00005007688.1	SYNJ1
ENSEGOT00005007691.1	SYNJ1
ENSEGOT00005007694.1	SYNJ1
ENSEGOT00005007683.1	OLFML2B
ENSEGOT00005007685.1	WDR19
ENSEGOT00005007686.1	ATF6
ENSEGOT00005007689.1	ARHGAP12
ENSEGOT00005007705.1	ARHGAP12
ENSEGOT00005007718.1	ARHGAP12
ENSEGOT00005007690.1	KLHL5
ENSEGOT00005007692.1	TMEM156
ENSEGOT00005007695.1	LOC100231450
ENSEGOT00005007697.1	LOC100231450
ENSEGOT00005007698.1	LOC100231450
ENSEGOT00005007700.1	LOC100231450
ENSEGOT00005007696.1	FAM114A1
ENSEGOT00005007699.1	CFAP298
ENSEGOT00005007701.1	KLF3
ENSEGOT00005007702.1	LOC115496188
ENSEGOT00005007703.1	EVA1C
ENSEGOT00005007706.1	HTATIP2
ENSEGOT00005007707.1	HTATIP2
ENSEGOT00005007715.1	URB1
ENSEGOT00005007714.1	RGS5
ENSEGOT00005007717.1	RGS4
ENSEGOT00005007720.1	RGS18
ENSEGOT00005007724.1	TBC1D1
ENSEGOT00005007730.1	TBC1D1
ENSEGOT00005007736.1	TBC1D1
ENSEGOT00005007722.1	RGS21
ENSEGOT00005007723.1	KCTD16
ENSEGOT00005007725.1	RGS1
ENSEGOT00005007726.1	YIPF5
ENSEGOT00005007729.1	RGS2
ENSEGOT00005007731.1	NR3C1
ENSEGOT00005007735.1	DIS3L2
ENSEGOT00005007734.1	ARHGAP26
ENSEGOT00005007742.1	ZEB1
ENSEGOT00005007754.1	ZEB1
ENSEGOT00005007737.1	AP3B1
ENSEGOT00005007745.1	AP3B1
ENSEGOT00005007740.1	PGM2
ENSEGOT00005007738.1	FGF1
ENSEGOT00005007741.1	SPRY4
ENSEGOT00005007748.1	RELL1
ENSEGOT00005007751.1	COPS7B
ENSEGOT00005007760.1	C4orf19
ENSEGOT00005007755.1	PDE6D
ENSEGOT00005007757.1	TBCA
ENSEGOT00005007764.1	OTP
ENSEGOT00005007768.1	PTMA
ENSEGOT00005007765.1	GNPDA1
ENSEGOT00005007773.1	RNF14
ENSEGOT00005007780.1	NWD2
ENSEGOT00005007779.1	NMUR1
ENSEGOT00005007782.1	HSPA4
ENSEGOT00005007783.1	WDR41
ENSEGOT00005007785.1	WDR41
ENSEGOT00005007787.1	DTHD1
ENSEGOT00005007790.1	NCL
ENSEGOT00005007794.1	NCL
ENSEGOT00005007791.1	ZCCHC10
ENSEGOT00005007798.1	AFF4
ENSEGOT00005007801.1	ARAP2
ENSEGOT00005007802.1	PDE8B
ENSEGOT00005007804.1	GNAI1
ENSEGOT00005007809.1	LEAP2
ENSEGOT00005007811.1	ARMC9
ENSEGOT00005007813.1	ZNF438
ENSEGOT00005007812.1	UQCRQ
ENSEGOT00005007814.1	GDF9
ENSEGOT00005007820.1	GNAT3
ENSEGOT00005007823.1	AGGF1
ENSEGOT00005007816.1	C1QTNF2
ENSEGOT00005007817.1	FABP6
ENSEGOT00005007819.1	ARMC9
ENSEGOT00005007832.1	ARMC9
ENSEGOT00005007818.1	PWWP2A
ENSEGOT00005007821.1	PCDH7
ENSEGOT00005007824.1	PCDH7
ENSEGOT00005007828.1	SUMF1
ENSEGOT00005007833.1	SUMF1
ENSEGOT00005007836.1	SUMF1
ENSEGOT00005007825.1	ADRA1B
ENSEGOT00005007829.1	CD36
ENSEGOT00005007830.1	CRHBP
ENSEGOT00005007835.1	IL12B
ENSEGOT00005007840.1	LOC100222344
ENSEGOT00005007841.1	F2RL2
ENSEGOT00005007843.1	LRRN1
ENSEGOT00005007847.1	SEMA3C
ENSEGOT00005007845.1	F2RL2
ENSEGOT00005007848.1	FBXO38
ENSEGOT00005007849.1	CRBN
ENSEGOT00005007852.1	PSMD1
ENSEGOT00005007851.1	TRNT1
ENSEGOT00005007853.1	HTR4
ENSEGOT00005007854.1	HGF
ENSEGOT00005007855.1	IL5RA
ENSEGOT00005007856.1	IQGAP2
ENSEGOT00005007862.1	IQGAP2
ENSEGOT00005007868.1	IQGAP2
ENSEGOT00005007857.1	HTR2B
ENSEGOT00005007859.1	CNTN4
ENSEGOT00005007860.1	C9H2orf72
ENSEGOT00005007864.1	LOC100228109
ENSEGOT00005007869.1	LOC100228109
ENSEGOT00005007872.1	LOC100228109
ENSEGOT00005007873.1	LOC100228109
ENSEGOT00005007874.1	LOC100228109
ENSEGOT00005007863.1	LOC100190127
ENSEGOT00005007867.1	CNTN6
ENSEGOT00005007866.1	CACNA2D1
ENSEGOT00005007878.1	CACNA2D1
ENSEGOT00005007865.1	IQCG
ENSEGOT00005007871.1	IQCG
ENSEGOT00005007901.1	STIM2
ENSEGOT00005007906.1	STIM2
ENSEGOT00005007907.1	STIM2
ENSEGOT00005007908.1	STIM2
ENSEGOT00005007909.1	STIM2
ENSEGOT00005007875.1	CHL1
ENSEGOT00005007876.1	SLC26A2
ENSEGOT00005007877.1	F2RL2
ENSEGOT00005007879.1	LOC101234089
ENSEGOT00005007882.1	SV2C
ENSEGOT00005007881.1	PPARGC1B
ENSEGOT00005007883.1	LRCH3
ENSEGOT00005007886.1	LRCH3
ENSEGOT00005007891.1	LRCH3
ENSEGOT00005007897.1	LRCH3
ENSEGOT00005007884.1	ARHGEF37
ENSEGOT00005007887.1	PCLO
ENSEGOT00005007888.1	CSNK1A1
ENSEGOT00005007889.1	CSNK1A1
ENSEGOT00005007890.1	PCLO
ENSEGOT00005007893.1	ANKDD1A
ENSEGOT00005007894.1	ANKDD1A
ENSEGOT00005007899.1	ANKDD1A
ENSEGOT00005007895.1	IL17B
ENSEGOT00005007896.1	SEMA3E
ENSEGOT00005007898.1	PCYOX1L
ENSEGOT00005007900.1	GRPEL2
ENSEGOT00005007902.1	FYTTD1
ENSEGOT00005007903.1	SEMA3A
ENSEGOT00005007904.1	AFAP1L1
ENSEGOT00005007905.1	POLK
ENSEGOT00005007920.1	SVIL
ENSEGOT00005007940.1	SVIL
ENSEGOT00005007963.1	SVIL
ENSEGOT00005007989.1	SVIL
ENSEGOT00005008016.1	SVIL
ENSEGOT00005007911.1	ABLIM3
ENSEGOT00005007916.1	ABLIM3
ENSEGOT00005007910.1	CERT1
ENSEGOT00005007915.1	CERT1
ENSEGOT00005007912.1	RUBCN
ENSEGOT00005007917.1	RUBCN
ENSEGOT00005007914.1	TBC1D19
ENSEGOT00005007913.1	SEMA3D
ENSEGOT00005007918.1	MED18
ENSEGOT00005007919.1	GRM3
ENSEGOT00005007921.1	CCKAR
ENSEGOT00005008191.1	KALRN
ENSEGOT00005008200.1	KALRN
ENSEGOT00005008207.1	KALRN
ENSEGOT00005008214.1	KALRN
ENSEGOT00005008215.1	KALRN
ENSEGOT00005008224.1	KALRN
ENSEGOT00005008226.1	KALRN
ENSEGOT00005008229.1	KALRN
ENSEGOT00005008236.1	KALRN
ENSEGOT00005008237.1	KALRN
ENSEGOT00005007922.1	HMGCR
ENSEGOT00005007923.1	RBPJ
ENSEGOT00005007924.1	ELAPOR2
ENSEGOT00005007926.1	SH3TC2
ENSEGOT00005007929.1	SH3TC2
ENSEGOT00005007928.1	SMIM20
ENSEGOT00005007931.1	ADRB2
ENSEGOT00005007936.1	DMTF1
ENSEGOT00005007984.1	CNTN3
ENSEGOT00005007994.1	CNTN3
ENSEGOT00005008009.1	CNTN3
ENSEGOT00005008023.1	CNTN3
ENSEGOT00005008024.1	CNTN3
ENSEGOT00005008025.1	CNTN3
ENSEGOT00005007938.1	UBTD2
ENSEGOT00005007939.1	GCNT4
ENSEGOT00005007941.1	SEL1L3
ENSEGOT00005007947.1	SEL1L3
ENSEGOT00005007942.1	FAM169A
ENSEGOT00005007943.1	STK10
ENSEGOT00005007944.1	TMEM243
ENSEGOT00005007945.1	MEIG1
ENSEGOT00005007948.1	NSA2
ENSEGOT00005007949.1	SH3PXD2B
ENSEGOT00005007952.1	SH3PXD2B
ENSEGOT00005007950.1	GFM2
ENSEGOT00005007951.1	DCLRE1C
ENSEGOT00005007954.1	DCLRE1C
ENSEGOT00005007953.1	SLC34A2
ENSEGOT00005007955.1	HEXB
ENSEGOT00005007956.1	NEURL1B
ENSEGOT00005007957.1	NEURL1B
ENSEGOT00005007958.1	SLC34A2
ENSEGOT00005007959.1	SUV39H2
ENSEGOT00005007960.1	ENC1
ENSEGOT00005007961.1	DUSP1
ENSEGOT00005007967.1	ANAPC4
ENSEGOT00005007966.1	ERGIC1
ENSEGOT00005007968.1	HSPA14
ENSEGOT00005007971.1	HSPA14
ENSEGOT00005007969.1	ARHGEF28
ENSEGOT00005007972.1	ARHGEF28
ENSEGOT00005007973.1	UTP15
ENSEGOT00005007975.1	FAM107B
ENSEGOT00005007976.1	ZCCHC4
ENSEGOT00005007979.1	ZCCHC4
ENSEGOT00005007978.1	ANKRA2
ENSEGOT00005007980.1	CREBRF
ENSEGOT00005007987.1	PI4K2B
ENSEGOT00005007985.1	TMEM174
ENSEGOT00005007986.1	NKX2-5
ENSEGOT00005007988.1	FRMD4A
ENSEGOT00005007995.1	FRMD4A
ENSEGOT00005008000.1	FRMD4A
ENSEGOT00005007990.1	STC2
ENSEGOT00005007991.1	TMEM171
ENSEGOT00005007992.1	SEPSECS
ENSEGOT00005007993.1	BOD1
ENSEGOT00005007998.1	FCHO2
ENSEGOT00005008002.1	FCHO2
ENSEGOT00005007997.1	CPEB4
ENSEGOT00005007999.1	LGI2
ENSEGOT00005008048.1	TNK2
ENSEGOT00005008062.1	TNK2
ENSEGOT00005008066.1	TNK2
ENSEGOT00005008072.1	TNK2
ENSEGOT00005008001.1	NSG2
ENSEGOT00005008004.1	CCDC149
ENSEGOT00005008011.1	SOD3
ENSEGOT00005008010.1	MSX2
ENSEGOT00005008015.1	PRPF18
ENSEGOT00005008019.1	PRPF18
ENSEGOT00005008018.1	DHX15
ENSEGOT00005008017.1	DRD1
ENSEGOT00005008020.1	SFXN1
ENSEGOT00005008022.1	KIF20A
ENSEGOT00005008021.1	PPARGC1A
ENSEGOT00005008027.1	BRD8
ENSEGOT00005008030.1	BRD8
ENSEGOT00005008034.1	BRD8
ENSEGOT00005008038.1	BRD8
ENSEGOT00005008026.1	BEND7
ENSEGOT00005008033.1	ADGRA3
ENSEGOT00005008037.1	ADGRA3
ENSEGOT00005008028.1	JCAD
ENSEGOT00005008029.1	PDZRN3
ENSEGOT00005008031.1	SEPHS1
ENSEGOT00005008032.1	PDZRN3
ENSEGOT00005008035.1	PPP4R2
ENSEGOT00005008036.1	PHYH
ENSEGOT00005008039.1	MCM10
ENSEGOT00005008040.1	GXYLT1
ENSEGOT00005008041.1	GXYLT1
ENSEGOT00005008044.1	BRD8
ENSEGOT00005008043.1	KCNIP4
ENSEGOT00005008047.1	KCNIP4
ENSEGOT00005008049.1	KCNIP4
ENSEGOT00005008045.1	SHQ1
ENSEGOT00005008046.1	OPTN
ENSEGOT00005008050.1	NHP2
ENSEGOT00005008052.1	NHP2
ENSEGOT00005008051.1	RYBP
ENSEGOT00005008054.1	LZTS2
ENSEGOT00005008055.1	CCDC3
ENSEGOT00005008056.1	PROK2
ENSEGOT00005008057.1	PACRGL
ENSEGOT00005008058.1	B4GALT7
ENSEGOT00005008059.1	GPR27
ENSEGOT00005008063.1	MTPAP
ENSEGOT00005008061.1	CAMK1D
ENSEGOT00005008065.1	CAMK1D
ENSEGOT00005008064.1	EIF4E3
ENSEGOT00005008067.1	EIF4E3
ENSEGOT00005008068.1	EIF4E3
ENSEGOT00005008140.1	TNPO1
ENSEGOT00005008154.1	TNPO1
ENSEGOT00005008155.1	TNPO1
ENSEGOT00005008074.1	MAP3K8
ENSEGOT00005008075.1	CDC123
ENSEGOT00005008076.1	FOXP1
ENSEGOT00005008077.1	RGS14
ENSEGOT00005008078.1	RGS14
ENSEGOT00005008080.1	NUDT5
ENSEGOT00005008083.1	MDFIC2
ENSEGOT00005008085.1	SLC34A1
ENSEGOT00005008087.1	SEC61A2
ENSEGOT00005008092.1	GRK6
ENSEGOT00005008093.1	DHTKD1
ENSEGOT00005008095.1	MITF
ENSEGOT00005008097.1	MITF
ENSEGOT00005008099.1	MITF
ENSEGOT00005008096.1	PRR7
ENSEGOT00005008100.1	BAMBI
ENSEGOT00005008098.1	DBN1
ENSEGOT00005008101.1	UPF2
ENSEGOT00005008102.1	FRMD4B
ENSEGOT00005008104.1	PDLIM7
ENSEGOT00005008106.1	PDLIM7
ENSEGOT00005008107.1	PDLIM7
ENSEGOT00005008109.1	PDLIM7
ENSEGOT00005008103.1	PROSER2
ENSEGOT00005008105.1	ECHDC3
ENSEGOT00005008110.1	LMOD3
ENSEGOT00005008111.1	LMOD3
ENSEGOT00005008108.1	USP6NL
ENSEGOT00005008112.1	ARL6IP5
ENSEGOT00005008149.1	TFRC
ENSEGOT00005008150.1	TFRC
ENSEGOT00005008152.1	TFRC
ENSEGOT00005008156.1	TFRC
ENSEGOT00005008159.1	TFRC
ENSEGOT00005008116.1	DOK3
ENSEGOT00005008117.1	DOK3
ENSEGOT00005008115.1	UBA3
ENSEGOT00005008118.1	UBA3
ENSEGOT00005008119.1	CELF2
ENSEGOT00005008120.1	CELF2
ENSEGOT00005008121.1	CELF2
ENSEGOT00005008122.1	CELF2
ENSEGOT00005008130.1	TMF1
ENSEGOT00005008134.1	TMF1
ENSEGOT00005008136.1	TMF1
ENSEGOT00005008126.1	WAC
ENSEGOT00005008139.1	WAC
ENSEGOT00005008196.1	WAC
ENSEGOT00005008135.1	GATA3
ENSEGOT00005008165.1	DDX41
ENSEGOT00005008167.1	DDX41
ENSEGOT00005008168.1	DDX41
ENSEGOT00005008172.1	DDX41
ENSEGOT00005008137.1	TAF3
ENSEGOT00005008138.1	TAF3
ENSEGOT00005008142.1	EOGT
ENSEGOT00005008145.1	KIN
ENSEGOT00005008146.1	TAFA4
ENSEGOT00005008147.1	TAFA1
ENSEGOT00005008148.1	SUCLG2
ENSEGOT00005008153.1	KBTBD8
ENSEGOT00005008160.1	ZNF366
ENSEGOT00005008161.1	SLC51A
ENSEGOT00005008163.1	SLC51A
ENSEGOT00005008162.1	PTCD2
ENSEGOT00005008164.1	MRPS27
ENSEGOT00005008166.1	PCYT1A
ENSEGOT00005008169.1	MAP1B
ENSEGOT00005008171.1	MAP1B
ENSEGOT00005008182.1	LRIG1
ENSEGOT00005008184.1	LRIG1
ENSEGOT00005008186.1	LRIG1
ENSEGOT00005008170.1	PCYT1A
ENSEGOT00005008173.1	PDCD1
ENSEGOT00005008174.1	FAM193B
ENSEGOT00005008175.1	PGM5
ENSEGOT00005008176.1	PGM5
ENSEGOT00005008203.1	ITIH2
ENSEGOT00005008205.1	ITIH2
ENSEGOT00005008208.1	ITIH2
ENSEGOT00005008210.1	ITIH2
ENSEGOT00005008181.1	LOC101233052
ENSEGOT00005008179.1	CBWD1
ENSEGOT00005008180.1	MASP1
ENSEGOT00005008183.1	SST
ENSEGOT00005008185.1	MXD3
ENSEGOT00005008189.1	PRELID1
ENSEGOT00005008187.1	BCL6
ENSEGOT00005008190.1	BCL6
ENSEGOT00005008188.1	SLC25A26
ENSEGOT00005008192.1	SLC25A26
ENSEGOT00005008193.1	DOCK8
ENSEGOT00005008201.1	DOCK8
ENSEGOT00005008198.1	MXD3
ENSEGOT00005008199.1	LPP
ENSEGOT00005008206.1	MAGI1
ENSEGOT00005008211.1	MAGI1
ENSEGOT00005008213.1	MAGI1
ENSEGOT00005008217.1	MAGI1
ENSEGOT00005008221.1	MAGI1
ENSEGOT00005008209.1	TP63
ENSEGOT00005008212.1	TP63
ENSEGOT00005008216.1	ITIH5
ENSEGOT00005008219.1	ITIH5
ENSEGOT00005008218.1	KANK1
ENSEGOT00005008220.1	KANK1
ENSEGOT00005008222.1	KANK1
ENSEGOT00005008223.1	LOC100221871
ENSEGOT00005008233.1	DMRT1
ENSEGOT00005008235.1	DMRT1
ENSEGOT00005008247.1	P3H2
ENSEGOT00005008249.1	P3H2
ENSEGOT00005008251.1	P3H2
ENSEGOT00005008232.1	SFMBT2
ENSEGOT00005008238.1	DMRT3
ENSEGOT00005008295.1	NSD1
ENSEGOT00005008303.1	NSD1
ENSEGOT00005008307.1	NSD1
ENSEGOT00005008313.1	NSD1
ENSEGOT00005008239.1	DMRT2
ENSEGOT00005008240.1	UMPS
ENSEGOT00005008244.1	PRKCQ
ENSEGOT00005008246.1	ADAMTS9
ENSEGOT00005008255.1	ADAMTS9
ENSEGOT00005008265.1	ADAMTS9
ENSEGOT00005008250.1	SMARCA2
ENSEGOT00005008248.1	ITGB5
ENSEGOT00005008252.1	PFKFB3
ENSEGOT00005008254.1	MUC13
ENSEGOT00005008253.1	CLDN1
ENSEGOT00005008259.1	CLDN16
ENSEGOT00005008260.1	RBM17
ENSEGOT00005008261.1	VLDLR
ENSEGOT00005008264.1	VLDLR
ENSEGOT00005008262.1	IL1RAP
ENSEGOT00005008263.1	LOC100222957
ENSEGOT00005008267.1	GMNC
ENSEGOT00005008269.1	LOC100225830
ENSEGOT00005008270.1	KCNV2
ENSEGOT00005008271.1	OSTN
ENSEGOT00005008272.1	LOC100222960
